number of DIUs,number of castles,rival's soldiers,my soldiers,my entry,,,,,,,,,
10000,3,5,5,0,2,3,,,,,,,
10000a,10,100,100,1,4,6,9,12,13,16,18,21,0
10000b,10,100,100,1,4,7,7,11,13,17,18,22,0
10000c,10,100,100,1,4,6,9,11,14,15,19,21,0
100000a,10,100,100,1,4,6,9,11,14,16,18,21,0
100000b,10,100,100,1,4,6,9,11,13,16,19,21,0
200000c,10,100,100,1,4,6,9,11,13,16,19,21,0
200000d,10,100,100,1,4,6,9,11,13,16,19,21,0
400000a,10,100,100,1,4,6,9,11,14,16,18,21,0
400000b,10,100,100,1,4,6,9,11,13,16,18,22,0
Julia_a,10,100,100,0,3,8,12,17,22,27,11,0,0
Julia_b,10,100,100,0,3,8,12,17,22,27,11,0,0
10000a,10,100,90,1,4,7,10,13,16,18,21,0,0
10000b,10,100,90,1,4,7,10,13,15,17,0,23,0
100000,10,100,90,1,4,7,10,13,16,18,21,0,0
200000a,10,100,90,1,4,7,10,13,15,19,21,0,0
200000b,10,100,90,1,4,7,10,13,16,18,21,0,0
400000a,10,100,90,1,4,7,10,13,16,18,21,0,0
400000b,10,100,90,1,4,7,10,13,16,18,21,0,0
Julia_a,10,100,90,0,4,8,12,16,22,26,2,0,0
Julia_b,10,100,90,0,4,8,12,16,22,26,2,0,0
10000a,10,100,110,1,4,6,10,11,16,16,19,1,26
10000b,10,100,110,1,4,7,9,12,15,16,21,24,1
100000,10,100,110,1,4,7,9,12,15,17,20,24,1
200000a,10,100,110,1,4,7,9,12,15,17,21,23,1
200000b,10,100,110,1,4,7,9,12,15,18,20,23,1
400000a,10,100,110,1,4,7,9,12,15,17,21,23,1
400000b,10,100,110,1,4,7,9,12,15,18,20,23,1
Julia_a,10,100,110,0,4,9,14,19,23,28,3,1,9
Julia_b,10,100,110,0,4,9,14,19,23,28,3,1,9